iReady_Index,Campus,iReady_Admin,Proficiency,Proficiency_Count,Total,Percentage
1.0,HS,iReady 1,On Grade Level,70,284,0.25
1.0,MS,iReady 1,On Grade Level,73,244,0.3
1.0,ES,iReady 1,On Grade Level,82,481,0.17
1.01,HS,iReady 2,On Grade Level,27,282,0.1
1.01,MS,iReady 2,On Grade Level,51,248,0.21
1.01,ES,iReady 2,On Grade Level,85,504,0.17
1.02,HS,iReady 3,On Grade Level,32,280,0.11
1.02,ES,iReady 3,On Grade Level,153,516,0.3
1.02,MS,iReady 3,On Grade Level,65,253,0.26
1.03,HS,iReady 4,On Grade Level,27,155,0.17
1.03,ES,iReady 4,On Grade Level,173,491,0.35
1.03,MS,iReady 4,On Grade Level,69,246,0.28
1.04,MS,iReady 1,Not On Grade Level,171,244,0.7
1.04,HS,iReady 1,Not On Grade Level,214,284,0.75
1.04,ES,iReady 1,Not On Grade Level,399,481,0.83
1.05,ES,iReady 2,Not On Grade Level,419,504,0.83
1.05,HS,iReady 2,Not On Grade Level,255,282,0.9
1.05,MS,iReady 2,Not On Grade Level,197,248,0.79
1.06,HS,iReady 3,Not On Grade Level,248,280,0.89
1.06,MS,iReady 3,Not On Grade Level,188,253,0.74
1.06,ES,iReady 3,Not On Grade Level,363,516,0.7
1.07,MS,iReady 4,Not On Grade Level,177,246,0.72
1.07,HS,iReady 4,Not On Grade Level,128,155,0.83
1.07,ES,iReady 4,Not On Grade Level,318,491,0.65