iReady_Index,iReady_Admin,Campus,Tier_Level,Tier_Level_Count,Total,Percentage
1.0,iReady 1,ES,Tier 1,82,481,0.17
1.01,iReady 2,ES,Tier 1,202,504,0.4
1.02,iReady 3,ES,Tier 1,277,516,0.54
1.03,iReady 4,ES,Tier 1,288,491,0.59
1.04,iReady 1,ES,Tier 2,237,481,0.49
1.05,iReady 2,ES,Tier 2,202,504,0.4
1.06,iReady 3,ES,Tier 2,167,516,0.32
1.07,iReady 4,ES,Tier 2,130,491,0.26
1.08,iReady 1,ES,Tier 3,162,481,0.34
1.09,iReady 2,ES,Tier 3,100,504,0.2
1.1,iReady 3,ES,Tier 3,72,516,0.14
1.11,iReady 4,ES,Tier 3,73,491,0.15
1.0,iReady 1,HS,Tier 1,70,284,0.25
1.01,iReady 2,HS,Tier 1,69,282,0.24
1.02,iReady 3,HS,Tier 1,80,280,0.29
1.03,iReady 4,HS,Tier 1,46,155,0.3
1.04,iReady 1,HS,Tier 2,54,284,0.19
1.05,iReady 2,HS,Tier 2,64,282,0.23
1.06,iReady 3,HS,Tier 2,68,280,0.24
1.07,iReady 4,HS,Tier 2,32,155,0.21
1.08,iReady 1,HS,Tier 3,160,284,0.56
1.09,iReady 2,HS,Tier 3,149,282,0.53
1.1,iReady 3,HS,Tier 3,132,280,0.47
1.11,iReady 4,HS,Tier 3,77,155,0.5
1.0,iReady 1,MS,Tier 1,73,244,0.3
1.01,iReady 2,MS,Tier 1,92,248,0.37
1.02,iReady 3,MS,Tier 1,106,253,0.42
1.03,iReady 4,MS,Tier 1,114,246,0.46
1.04,iReady 1,MS,Tier 2,46,244,0.19
1.05,iReady 2,MS,Tier 2,77,248,0.31
1.06,iReady 3,MS,Tier 2,65,253,0.26
1.07,iReady 4,MS,Tier 2,59,246,0.24
1.08,iReady 1,MS,Tier 3,125,244,0.51
1.09,iReady 2,MS,Tier 3,79,248,0.32
1.1,iReady 3,MS,Tier 3,82,253,0.32
1.11,iReady 4,MS,Tier 3,73,246,0.3